0_0 #78b3f2
21_14 #725930
22_14 #7b1c00
23_14 #581400
24_14 #6c696c
26_14 #708893
27_14 #a18158
28_14 #675157
29_14 #b0816c
0_15 #a15020
1_15 #923b13
2_15 #bfb9bf
3_15 #7f3915
4_15 #163d4c
7_15 #2c7abd
8_15 #177cfc
9_15 #303330
10_15 #303230
11_15 #177317
12_15 #5e5e5e
13_15 #6a4c58
14_15 #5ea6ed
15_15 #5f5f5f
16_15 #ba1d00
17_15 #484848
18_15 #89703e
19_15 #62502d
20_15 #257124
21_15 #1b511a
22_15 #1b5a8a
23_15 #134062
24_15 #4a484a
27_15 #905141
28_15 #575557
29_15 #765441
